time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,PivHigh_Dist,PivLow_Dist,Divergence,Volume,Volume MA, rsi, rsi2 ,ADX,ATR,ATR2,ATR3,SqueezeState,MACD,Signal
2025-07-11T06:00:00+09:00,113429.80 ,117500.00 ,113323.90 ,116465.30 ,114741.8078,109047.6522,109022.3475,110105.87,111894.73,,,,,1,6,4.24 ,5.16 ,0,29527,4896,85.29 ,72.18 ,42.03 ,1.55 ,0.70 ,1.30 ,-1,1095.70 ,628.05 
2025-07-11T07:00:00+09:00,116465.30 ,116473.20 ,115768.80 ,115984.10 ,115469.1585,108801.5715,109061.851,110226.1817,112135.365,,,,,1,6,3.84 ,4.77 ,0,7093,5139,79.50 ,69.89 ,44.81 ,1.24 ,0.76 ,1.41 ,-1,1256.67 ,725.62 
2025-07-11T08:00:00+09:00,115984.10 ,116077.70 ,115626.00 ,115973.20 ,116066.5391,108698.1009,109098.2495,110347.46,112382.32,,,,,1,6,3.83 ,4.76 ,0,2896,5230,79.37 ,69.84 ,47.70 ,0.96 ,0.80 ,1.49 ,-1,1367.60 ,836.15 
2025-07-11T09:00:00+09:00,115973.20 ,116045.30 ,115189.60 ,115555.20 ,116486.0996,108722.7504,109129.276,110458.3983,112604.425,,,,,1,6,3.48 ,4.42 ,0,4154,5391,74.30 ,67.88 ,50.30 ,0.89 ,0.84 ,1.57 ,-1,1405.58 ,950.57 
2025-07-11T10:00:00+09:00,115555.20 ,116038.50 ,115466.90 ,115921.80 ,116916.2611,108778.8589,109163.4815,110574.2333,112847.56,,,,,1,6,3.79 ,4.72 ,0,4180,5550,75.76 ,68.67 ,52.66 ,0.75 ,0.88 ,1.64 ,-1,1448.56 ,1059.00 
2025-07-11T11:00:00+09:00,115921.80 ,116757.30 ,115675.30 ,116608.70 ,117424.7571,108811.2129,109199.0965,110712.0833,113117.985,117500,,,,1,6,0.76 ,5.28 ,0,4524,5719,78.26 ,70.07 ,54.85 ,0.81 ,0.92 ,1.72 ,-1,1520.52 ,1157.91 
2025-07-11T12:00:00+09:00,116608.70 ,116924.00 ,116315.30 ,116826.90 ,117898.3634,108901.6466,109235.186,110855.5283,113400.005,,,,,1,6,0.58 ,5.46 ,0,3162,5796,79.00 ,70.49 ,56.90 ,0.71 ,0.95 ,1.78 ,-1,1576.98 ,1252.69 
2025-07-11T13:00:00+09:00,116826.90 ,116867.90 ,116432.70 ,116844.90 ,118299.8289,109064.6711,109273.9605,110996.425,113682.25,,,,,1,6,0.56 ,5.47 ,0,3262,5907,79.06 ,70.53 ,58.57 ,0.60 ,0.98 ,1.83 ,-1,1604.68 ,1344.62 
2025-07-11T14:00:00+09:00,116844.90 ,118393.10 ,116844.90 ,117817.40 ,118802.1975,109243.8625,109316.077,111144.3967,114023.03,,,,,1,7,0.27 ,6.25 ,0,15071,6607,82.19 ,72.35 ,60.00 ,0.83 ,1.02 ,1.91 ,-1,1685.68 ,1440.22 
2025-07-11T15:00:00+09:00,117817.40 ,118350.00 ,117574.90 ,117616.00 ,119170.3813,109532.2987,109358.6465,111286.4067,114351.34,,,,,1,7,0.10 ,6.09 ,0,5546,6790,79.54 ,71.42 ,61.27 ,0.78 ,1.06 ,1.99 ,-1,1713.86 ,1508.90 
2025-07-11T16:00:00+09:00,117616.00 ,118090.10 ,117433.40 ,117519.50 ,119425.2702,109930.9798,109402.2105,111432.8983,114678.125,,,,,1,7,0.02 ,6.02 ,0,5416,7014,78.24 ,70.97 ,62.52 ,0.70 ,1.10 ,2.05 ,-1,1708.70 ,1559.13 
2025-07-11T17:00:00+09:00,117519.50 ,118095.00 ,117519.50 ,117943.00 ,119637.0399,110431.3001,109447.448,111588.9483,115034.17,,,,,1,7,0.38 ,6.35 ,0,3705,7061,79.80 ,71.76 ,63.76 ,0.63 ,1.13 ,2.11 ,-1,1718.98 ,1598.17 
2025-07-11T18:00:00+09:00,117943.00 ,118862.90 ,117861.10 ,118463.80 ,119811.7693,111026.8407,109495.0145,111749.2217,115419.305,,,,,1,7,0.81 ,6.76 ,0,8048,7187,81.55 ,72.70 ,64.98 ,0.70 ,1.16 ,2.16 ,-1,1748.99 ,1636.33 
2025-07-11T19:00:00+09:00,118463.80 ,118463.80 ,117930.00 ,117965.80 ,119827.6637,111688.0163,109541.443,111900.985,115757.84,,,,,1,7,0.39 ,6.37 ,0,2705,7053,74.87 ,70.42 ,66.17 ,0.62 ,1.17 ,2.19 ,-1,1712.84 ,1665.69 
2025-07-11T20:00:00+09:00,117965.80 ,118096.60 ,117583.10 ,117792.60 ,119696.1404,112464.7096,109587.402,112049.7767,116080.425,,,,,1,7,0.25 ,6.23 ,0,2300,6955,72.64 ,69.64 ,67.12 ,0.56 ,1.19 ,2.21 ,-1,1651.18 ,1680.21 
2025-07-11T21:00:00+09:00,117792.60 ,118228.80 ,117701.40 ,117837.10 ,119654.4148,113032.1452,109632.8645,112199.0617,116343.28,,,,,1,7,0.29 ,6.27 ,0,1910,6314,72.86 ,69.73 ,67.77 ,0.52 ,1.17 ,2.19 ,-1,1587.61 ,1681.39 
2025-07-11T22:00:00+09:00,117837.10 ,118166.70 ,117249.30 ,117969.30 ,119701.632,113414.548,109676.229,112353.0883,116558.09,,,,,1,7,0.40 ,6.37 ,0,4994,6005,73.55 ,69.99 ,67.90 ,0.61 ,1.16 ,2.16 ,-1,1530.25 ,1673.12 
2025-07-11T23:00:00+09:00,117969.30 ,118157.10 ,117379.60 ,117850.80 ,119610.8402,113951.6498,109718.383,112507.74,116781.245,118862.9,,,,1,7,0.86 ,6.28 ,0,3119,5866,71.78 ,69.44 ,67.61 ,0.62 ,1.15 ,2.14 ,-1,1458.42 ,1647.87 
2025-07-12T00:00:00+09:00,117850.80 ,117959.70 ,116740.10 ,116917.10 ,119281.6985,114648.5315,109756.8305,112650.9167,116965.115,,,,,1,7,1.66 ,5.53 ,0,5029,5923,59.63 ,65.30 ,66.62 ,0.77 ,1.15 ,2.16 ,-1,1311.04 ,1603.11 
2025-07-12T01:00:00+09:00,116917.10 ,117457.60 ,116618.60 ,117408.50 ,118821.725,115506.375,109797.281,112799.3483,117164.05,,,,,1,7,1.24 ,5.93 ,0,4768,6070,63.17 ,66.38 ,64.88 ,0.75 ,1.17 ,2.18 ,-1,1219.83 ,1548.79 
2025-07-12T02:00:00+09:00,117408.50 ,117746.80 ,117250.50 ,117633.70 ,118859.7539,115585.1861,109835.9685,112947.72,117222.47,,,,,1,7,1.04 ,6.11 ,0,2527,4720,64.69 ,66.86 ,62.55 ,0.64 ,1.10 ,2.06 ,-1,1152.44 ,1485.84 
2025-07-12T03:00:00+09:00,117633.70 ,117738.00 ,117291.90 ,117699.50 ,118854.2258,115762.2542,109875.467,113096.2317,117308.24,,,,,1,7,0.99 ,6.16 ,0,1747,4453,65.15 ,67.00 ,59.90 ,0.55 ,1.05 ,1.96 ,-1,1091.75 ,1412.82 
2025-07-12T04:00:00+09:00,117699.50 ,118123.70 ,117405.10 ,118076.70 ,118865.126,115961.704,109918.0355,113253.2633,117413.415,,,,,1,7,0.67 ,6.46 ,0,2527,4435,67.71 ,67.80 ,57.06 ,0.57 ,1.02 ,1.91 ,-1,1061.85 ,1340.49 
2025-07-12T05:00:00+09:00,118076.70 ,118076.70 ,117617.90 ,117617.90 ,118692.4274,116340.6726,109960.5245,113403.36,117516.55,,,,,1,7,1.06 ,6.09 ,0,1377,4296,61.76 ,65.82 ,54.32 ,0.51 ,0.99 ,1.85 ,-1,989.73 ,1266.99 
2025-07-12T06:00:00+09:00,117617.90 ,117856.90 ,117439.30 ,117590.60 ,118520.4736,116679.5064,109997.4095,113551.535,117599.99,,116618.6,,,1,7,1.08 ,0.83 ,0,1370,4155,61.41 ,65.70 ,51.54 ,0.46 ,0.97 ,1.81 ,1,919.76 ,1192.79 
2025-07-12T07:00:00+09:00,117590.60 ,117630.20 ,117133.00 ,117589.00 ,118449.7378,116848.2722,110037.024,113697.535,117649.005,,,,,1,7,1.08 ,0.83 ,0,2935,4076,61.39 ,65.69 ,48.89 ,0.45 ,0.94 ,1.76 ,1,854.34 ,1117.69 
2025-07-12T08:00:00+09:00,117589.00 ,117649.80 ,117413.90 ,117499.90 ,118393.9348,116971.3752,110079.0895,113839.2767,117682.655,,,,,1,7,1.16 ,0.75 ,0,620,3949,60.12 ,65.30 ,46.42 ,0.37 ,0.92 ,1.71 ,1,786.23 ,1043.00 
2025-07-12T09:00:00+09:00,117499.90 ,117627.40 ,117103.40 ,117365.90 ,118327.4978,117089.9122,110119.745,113974.0317,117708.705,,,,,1,7,1.28 ,0.64 ,0,1770,3874,58.16 ,64.70 ,43.92 ,0.39 ,0.90 ,1.68 ,1,713.23 ,976.57 
2025-07-12T10:00:00+09:00,117365.90 ,117647.30 ,117365.90 ,117608.80 ,118316.4196,117080.1304,110160.3415,114115.0117,117698.275,,,,,1,7,1.07 ,0.84 ,0,1055,3173,60.66 ,65.29 ,41.39 ,0.34 ,0.87 ,1.61 ,1,667.28 ,915.18 
2025-07-12T11:00:00+09:00,117608.80 ,117766.50 ,117536.60 ,117563.50 ,118315.6131,117075.6869,110200.004,114260.2333,117695.65,,,,,1,7,1.11 ,0.80 ,0,661,2929,59.94 ,65.08 ,38.72 ,0.29 ,0.83 ,1.55 ,1,620.06 ,856.02 
2025-07-12T12:00:00+09:00,117563.50 ,117800.00 ,117563.40 ,117733.70 ,118321.1601,117091.5599,110239.9825,114405.6167,117706.36,,,,,1,7,0.96 ,0.95 ,0,550,2686,61.77 ,65.50 ,35.93 ,0.26 ,0.80 ,1.49 ,1,589.57 ,800.23 
2025-07-12T13:00:00+09:00,117733.70 ,117840.00 ,117531.80 ,117611.60 ,118295.9889,117084 ,110278.6005,114543.375,117689.79,,,,,1,7,1.06 ,0.84 ,0,614,2531,59.66 ,64.93 ,33.19 ,0.26 ,0.77 ,1.43 ,1,549.23 ,743.27 
2025-07-12T14:00:00+09:00,117611.60 ,117673.30 ,117453.10 ,117644.30 ,118140.0958,117157.5342,110318.126,114685.74,117648.815,,117103.4,118862.9,,1,7,1.04 ,0.46 ,0,1779,2218,60.06 ,65.02 ,30.59 ,0.24 ,0.73 ,1.37 ,1,513.98 ,690.41 
2025-07-12T15:00:00+09:00,117644.30 ,117936.30 ,117617.00 ,117800.00 ,118115.4539,117165.5961,110358.894,114824.3067,117640.525,,,,,1,7,0.90 ,0.59 ,0,1504,2158,61.96 ,65.41 ,28.31 ,0.25 ,0.71 ,1.32 ,1,492.91 ,642.98 
2025-07-12T16:00:00+09:00,117800.00 ,118015.90 ,117590.00 ,117696.20 ,118106.2994,117165.1106,110399.679,114924.095,117635.705,,,,,1,7,0.99 ,0.50 ,0,1616,2123,59.91 ,64.91 ,26.45 ,0.29 ,0.68 ,1.28 ,1,462.52 ,599.45 
2025-07-12T17:00:00+09:00,117696.20 ,117886.70 ,117683.00 ,117874.70 ,118111.6701,117163.4999,110441.9615,115043.9383,117637.585,,,,,1,7,0.84 ,0.65 ,0,717,2064,62.22 ,65.38 ,24.99 ,0.25 ,0.66 ,1.24 ,1,447.67 ,561.83 
2025-07-12T18:00:00+09:00,117874.70 ,118167.10 ,117820.80 ,118109.10 ,118141.5856,117147.5644,110485.2025,115165.955,117644.575,,,,,1,7,0.64 ,0.85 ,0,1716,1900,65.07 ,65.98 ,24.05 ,0.26 ,0.64 ,1.19 ,1,449.63 ,532.54 
2025-07-12T19:00:00+09:00,118109.10 ,118109.10 ,117838.40 ,118018.30 ,118168.8641,117137.0359,110529.544,115277.3333,117652.95,,,,,1,7,0.72 ,0.78 ,0,5912,2040,63.09 ,65.53 ,23.57 ,0.25 ,0.61 ,1.14 ,1,438.81 ,507.15 
2025-07-12T20:00:00+09:00,118018.30 ,118050.00 ,117580.10 ,117770.00 ,118087.179,117304.011,110572.348,115386.9533,117695.595,,,,,1,7,0.93 ,0.57 ,0,2172,1897,57.89 ,64.30 ,23.20 ,0.30 ,0.58 ,1.07 ,1,405.51 ,483.32 
2025-07-12T21:00:00+09:00,117770.00 ,117814.00 ,117260.80 ,117500.70 ,118080.1591,117320.2509,110615.124,115497.5533,117700.205,,,,,1,7,1.16 ,0.34 ,0,3172,1817,52.80 ,62.98 ,22.95 ,0.36 ,0.55 ,1.02 ,1,353.33 ,457.07 
2025-07-12T22:00:00+09:00,117500.70 ,117543.00 ,117200.00 ,117470.40 ,118084.1828,117299.8972,110657.637,115603.08,117692.04,,,,,1,7,1.19 ,0.31 ,0,5462,1964,52.25 ,62.84 ,22.66 ,0.34 ,0.52 ,0.98 ,1,306.00 ,430.04 
