time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,Volume,Volume MA,  rsi,rsi2 ,ADX,ATR,SqueezeState,MACD,Signal
2025-06-27T11:00:00+09:00,107066.5,107238.5,107000,107196,107792.5323,106655.6877,104453.0355,106950.685,107224.11,NaN,NaN,NaN,NaN,-1,1,1043.469596,2055.700361,50.65303517,55.0944562,19.53478162,0.421042607,1,-42.95404861,14.33704606
2025-06-27T12:00:00+09:00,107196,107457.7,107111.3,107407.6,107728.7611,106684.8089,104471.1975,106987.7617,107206.785,NaN,NaN,NaN,NaN,-1,1,1394.129408,2049.565893,54.2250347,55.88695521,19.32766458,0.387645339,1,-17.07224146,6.473024593
2025-06-27T13:00:00+09:00,107407.6,107525.8,107295.2,107442.6,107682.0298,106707.4102,104484.6135,107009.3033,107194.72,NaN,NaN,NaN,NaN,-1,1,1109.515842,2034.792196,54.80774411,56.01801842,19.11278018,0.329888117,1,6.19210592,-0.174168192
2025-06-27T14:00:00+09:00,107442.6,107499.9,107214.3,107214.3,107678.2664,106705.7736,104495.4705,107029.8583,107192.02,NaN,NaN,NaN,NaN,-1,1,1635.206322,1947.219836,50.30899094,54.93127716,18.95027441,0.309187842,1,6.136627591,-9.85531162
2025-06-27T15:00:00+09:00,107214.3,107345.7,107142.4,107243.6,107669.9388,106704.9612,104507.844,107059.39,107187.45,NaN,106373.1,NaN,NaN,-1,1,866.4437129,1939.425329,50.86640152,55.04553547,18.84065311,0.269258386,1,8.360550523,-14.94807476
2025-06-27T16:00:00+09:00,107243.6,107691.8,106819.3,106837,107668.7871,106661.6229,104517.901,107080.2533,107165.205,NaN,NaN,NaN,NaN,-1,1,4169.571115,2072.692047,43.5633683,53.13715298,18.55034032,0.452410299,1,-22.42766428,-19.75784307
2025-06-27T17:00:00+09:00,106837,107051.6,106640,106958.2,107669.7399,106649.4901,104528.2225,107095.8233,107159.615,NaN,NaN,NaN,NaN,-1,1,3001.046017,2116.592091,46.04984769,53.62637328,17.91375123,0.429539509,1,-36.62552301,-22.8808865
2025-06-27T18:00:00+09:00,106958.2,107094.7,106754,107036.8,107666.5239,106665.4861,104540.6755,107114.2033,107166.005,NaN,NaN,NaN,NaN,-1,1,1237.792578,1965.989169,47.66034227,53.94466877,17.00983004,0.392249972,1,-41.06173115,-21.4745619
2025-06-27T19:00:00+09:00,107036.8,107122.8,106914,106950,107642.8823,106645.8077,104552.1025,107130.58,107144.345,NaN,NaN,NaN,NaN,-1,1,1434.603903,1836.018398,46.02633186,53.53046651,16.06123504,0.326789352,1,-50.99366937,-21.16062154
2025-06-27T20:00:00+09:00,106950,107099.9,106877,106943.1,107631.8469,106625.5431,104561.608,107145.8983,107128.695,NaN,NaN,NaN,NaN,-1,1,1160.967873,1702.037716,45.89163878,53.49713318,15.13283064,0.287349823,1,-58.74440536,-22.91510562
